Name,Position,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,contact_score,power_score
eloy jimenez,DH,0.0,188.4,202.5,47.9,33.7,8.8,0.0,0.12616822429906543,39.6,12.6,0.7187410586552218,3.11,0.40580645161290324,0.3577512776831346,0.3917014613778706,0.3391,19.7,79.2,0.0,0.9,0.126,0.1998,0.3891521853607161,0.1528,0.1507,0.0738,0.1698,0.1769,-0.0002,-0.0108,-0.005,37.21,45.78,2.43,12.73,4.2,2.21,0.4231445655997186,51.58860958,48.04875499,35.29,0.72093813732155,13.8,25.49,-0.2,12.86,0.5271882130925865,0.3339335968929121
eugenio suarez,3B,33.0,518.4,585.8,125.6,66.9,25.7,0.6,0.7570093457943926,166.6,44.7,0.18998569384835495,7.48,0.7796774193548388,0.9235282983153511,0.81758872651357,0.8012,96.5,236.3,1.0,2.5,0.2312,0.4624,0.8996840442338072,0.3313,0.3063,0.2315,0.4409,0.4249,0.0105,0.0255,0.0104,72.32,90.09,20.78,35.31,13.23,7.93,0.8119943721421035,101.1456327,94.91762828,67.96,0.29265805574439163,31.74,48.51,0.0,26.48,0.5757085936790719,0.8607644463520467
gary sanchez,,,240.0,267.0,52.0,24.0,9.0,0.0,0.44392523364485986,67.0,21.0,0.28183118741058655,7.9,0.7000000000000001,0.9312890403180012,0.7515657620041754,0.78,47.0,119.0,0.0,0.0,0.233,0.502,0.866245392311743,0.343,0.305,0.269,0.403,0.424,-0.016,-0.01,-0.014,73.4,90.1,16.5,27.4,15.4,5.1,0.784382694336968,101.7053643,95.14394686,57.8,0.4357579877634262,27.6,41.8,0.0,24.9,0.5789875636360552,0.7849219153852889
gleyber torres,2B,28.0,501.8,576.9,131.9,93.1,22.4,0.4,0.3738317757009346,95.9,64.4,0.5316165951359084,11.44,0.8474193548387097,0.7647170168464889,0.9091858037578288,0.7524,61.5,183.4,2.6,5.8,0.2729,0.455,0.8730911005792522,0.355,0.359,0.1826,0.346,0.3788,-0.0102,-0.051,-0.0234,70.52,89.77,15.27,38.32,8.07,7.33,0.6793879704537461,99.48211958,94.04811409,67.29,0.4462950373895309,20.98,43.67,0.0,26.36,0.7225638740840494,0.7019863844586585
ha-seong kim,SS,29.0,270.5,312.7,65.2,45.7,10.9,0.9,0.1799065420560748,59.4,36.4,0.3925608011444922,10.39,0.7383870967741936,0.6645845163732729,0.819937369519833,0.6653,28.6,110.8,3.8,17.2,0.238,0.3484,0.7790942601369141,0.301,0.3235,0.1109,0.3253,0.3329,-0.0091,0.0027,-0.0051,69.34,87.81,14.25,34.6,5.58,5.88,0.6412240590925079,98.46139705,93.3347556,52.83,0.4466349422161794,18.94,38.13,0.0,27.79,0.6353364885603423,0.5973297531827726
harrison bader,CF,31.0,340.4,377.4,81.8,54.8,15.1,0.4,0.26869158878504673,85.3,25.2,0.3519313304721031,6.77,0.7764516129032258,0.7382169222032936,0.795929018789144,0.695,44.3,149.4,5.5,14.1,0.2309,0.3761,0.7996313849394419,0.2978,0.2983,0.1457,0.3563,0.3461,0.0098,0.0139,0.0059,72.22,86.79,13.33,31.63,8.08,5.5,0.658459373900809,99.32134425,93.7137269,62.05,0.40074779061862686,26.82,46.68,7.1,28.57,0.622250013725857,0.6467846846799917
ildemaro vargas,2B,33.0,149.0,163.6,37.3,26.9,8.4,0.4,0.03738317757009346,16.8,9.5,0.5490701001430616,3.21,0.8312903225806452,0.7266704523944729,0.7680062630480167,0.6782,17.2,64.0,1.4,2.9,0.254,0.3657,0.7798841495523959,0.2881,0.2914,0.1117,0.3323,0.321,0.0037,0.0182,0.0081,69.88,88.82,7.57,29.25,2.99,2.02,0.6609215617305663,98.44947214,93.56601681,66.24,0.5057783820530252,20.45,52.5,0.0,27.16,0.6907586721278159,0.5916273284441925
isiah kiner-falefa,2B,30.0,389.7,419.0,101.8,79.0,16.3,2.4,0.09579439252336448,68.4,18.9,0.5296137339055794,4.67,0.8390322580645162,0.6517130418322923,0.7920146137787056,0.6478,36.8,154.9,3.1,13.6,0.2511,0.3284,0.7540810953133227,0.2784,0.2965,0.0771,0.3156,0.3053,0.009,0.0159,0.008,66.85,85.89,5.87,31.18,2.11,3.83,0.522335561027084,96.64906151,92.36585479,62.08,0.6869476546566962,15.81,47.11,-0.4,27.53,0.7326263392654216,0.5453642318537741
j.t. realmuto,C,34.0,409.3,445.4,109.9,72.9,22.5,1.8,0.2967289719626168,107.2,28.6,0.3124463519313305,6.4,0.8683870967741936,0.8027635812985047,0.8457724425887265,0.7482,46.7,172.0,2.6,6.8,0.2712,0.4496,0.8546603475513427,0.3355,0.3262,0.1789,0.3994,0.4154,-0.002,-0.0255,-0.0109,72.86,89.82,11.11,37.31,9.76,7.86,0.8123461132606401,101.4602482,95.03366464,68.01,0.4449354180829368,25.05,49.8,0.0,28.39,0.6657242158117294,0.7190421956996056
jacob stallings,C,35.0,180.6,204.0,36.4,22.9,9.9,0.3,0.07710280373831777,52.9,16.5,0.21917024320457812,7.19,0.5938709677419356,0.5245125875449556,0.6790187891440501,0.5373,19.3,87.0,0.0,0.0,0.1931,0.2872,0.6387572406529752,0.2508,0.2694,0.0946,0.2787,0.2926,-0.009,-0.0101,-0.0082,67.27,86.42,10.96,33.02,3.93,5.18,0.5541681322546606,96.52127827,92.37321857,66.7,0.2719238613188306,30.55,49.6,0.0,23.69,0.4800857479704775,0.47523513565797487
