Name,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA,Position,player_age,strikeout_score,contact_score,overall_score
chris bassitt,705.1,634.9,165.2,112.7,29.3,1.7,21.5,158.6,53.3,0.543527417,0.639232673,0.7385,0.4147,0.3294,0.2559,0.2545,0.4097,0.182222222,0.3216,0.3242,0.408914729,0.3828,0.3773,0.007,0.005,0.004,71.18,87.49,12.48,35.29,8.21,-3.4,-34.99,75.42996373,93.85841502,66.29,17.32,0.51214455,46.76,0.544554455,0.393729493,0.286701209,3.953,SP,36,0.52633107,-0.696125556,0.364567042
chris martin,163.8,155.5,39.6,32.6,3.1,0,3.9,42.2,5.5,0.636800452,0.88799505,0.7458,0.3511,0.2821,0.3668,0.2651,0.3992,0.358730159,0.296,0.2952,0.511143411,0.3559,0.3924,-0.0109,-0.0481,-0.026,71.08,88.25,10.24,36.27,6.25,-4.7,-36.1,76.7546254,94.12586684,69.46,18.09,0.531101896,54.86,0.342574257,0.316441852,0.915716753,0.21,RP,39,0.630198396,-1.058093968,0.512521705
chris paddack,398.6,369.2,99.8,64.4,17.5,2,15.9,73.3,22,0.530808366,0.771039604,0.7254,0.4599,0.3135,0.2266,0.2729,0.4619,0.163174603,0.3342,0.3133,0.242732558,0.4098,0.4097,0.0017,-0.002,-0.0026,71.36,89.42,14.66,39.62,8.81,-7.35,-42.08,78.69509709,94.49422223,70.06,18.6,0.566054502,50.55,0.279207921,0.23660226,0.354231434,4.182,SP,29,0.531813293,-1.892045079,0.269987179
chris sale,480.6,439.4,98.7,66.5,19.4,3.6,9.2,149.5,30.5,0.780949689,0.69740099,0.7728,0.3541,0.2901,0.3558,0.2143,0.3404,0.313650794,0.2758,0.2794,0.54748062,0.3732,0.3596,0.0129,0.0137,0.0084,70.72,86.78,12.3,34.22,7.16,-3.27,-31.18,75.34868428,93.17349712,63.84,20.08,0.75207346,49.17,0.984158416,0.592052497,0.535924007,2.764,SP,36,0.708883267,-0.628409841,0.637165385
clayton kershaw,302.5,277,67.3,44.7,13.4,1.3,7.9,59.1,20.7,0.427077445,0.686881188,0.7418,0.3961,0.3115,0.2924,0.266,0.4042,0.24031746,0.3182,0.3228,0.49127907,0.3454,0.3602,-0.0078,-0.0081,-0.0109,72.8,89.67,11.94,33.28,5.28,-6.66,-41.11,78.51918666,94.65840794,65.93,13.7,0.548874408,47.48,0.520792079,0.360918702,0.557685665,2.127,SP,37,0.528417607,-1.665096508,0.443790556
colin rea,584.6,532.4,135.7,86.7,24.5,1.7,22.8,109,39.5,0.433860938,0.679455446,0.7456,0.4349,0.3115,0.2536,0.2707,0.453,0.191428571,0.3398,0.3284,0.276162791,0.3648,0.3884,-0.0163,-0.0181,-0.0171,71.9,90.25,14.11,36.99,9.2,-5.35,-41.01,79.96756731,94.60248796,66.82,14.43,0.466232227,46.87,0.300990099,0.338315713,0.191709845,4.297,RP,34,0.461151597,-1.280734286,0.25375884
danny coulombe,149.1,137.1,27,21.2,3.6,0,2.2,41.2,10.4,0.694177501,0.675123762,0.8097,0.2661,0.2465,0.4874,0.2307,0.3535,0.480952381,0.2812,0.2847,0.565891473,0.2801,0.358,-0.0404,-0.0874,-0.0497,71.74,87.86,14.08,28.94,4.42,-5.75,-38.26,76.58364772,93.81238439,64.71,19.02,0.651954976,48.73,0.259405941,0.106452789,0.90224525,0.562,RP,35,0.65204279,-1.336599524,0.465976391
david robertson,152.9,135.6,28.5,20.8,4.1,0.2,3.4,48.8,14.4,0.848219333,0.503094059,0.7842,0.3774,0.2977,0.3249,0.2148,0.3857,0.276507937,0.2979,0.2965,0.331395349,0.4024,0.4065,0.001,-0.0083,-0.002,72.23,87.47,9.36,42.6,7.42,-11.17,-26.92,76.74043827,93.49779973,57.88,18.21,0.586196682,41.62,0.384158416,0.244622676,0.740069085,1.506,RP,40,0.597222686,-3.000898413,0.441494373
derek law,157.5,141.7,34.6,26.3,4.5,0.5,3.3,31.8,12.4,0.189937818,0.845915842,0.8784,0.1772,0.1546,0.6682,0.1304,0.1871,0.74984127,0.1562,0.1639,0.886143411,0.1626,0.1763,-0.0088,-0.0099,-0.0094,35.59,43.86,5.54,17.95,2.1,-1.43,-16.06,38.62611953,46.58074945,34.08,8.58,0.266587678,24.53,0.368316832,0.26759023,0.668393782,1.5,RP,0,0.483369499,0.015408254,0.514499484
devin williams,175.1,152.4,26.7,15.7,6.9,0.5,3.6,62.3,18.9,0.948841153,0.417079208,0.8308,0.2877,0.2754,0.4369,0.1796,0.294,0.404126984,0.2663,0.287,0.603197674,0.3324,0.3541,-0.0104,-0.0063,-0.0106,71.65,87.34,12.52,31.4,8.27,-4.83,-33.04,76.74990507,93.3081832,68.61,31.26,1,48.72,0.23960396,0.340503099,0.65164076,3.056,RP,30,0.788707722,-1.063854603,0.416299433
drew pomeranz,74,64,12.5,11,0.5,0,1,19.5,6.5,0.280384398,0.829826733,0.9025,0.125,0.1465,0.7285,0.1155,0.189,0.817460317,0.157,0.163,0.804748062,0.1375,0.188,-0.018,-0.064,-0.0315,35.7,45.25,9.1,18.7,4.4,-3.95,-19.35,40.69239656,47.078285,33.8,7.15,0.177725118,24.3,0.275247525,0.298942763,0.700345423,1.17,RP,36,0.464347814,-0.721457937,0.515958501
drew smith,72.5,62,15.4,8.5,3.8,1.1,2,18.9,8.5,0.293103448,0.743193069,0.8725,0.2207,0.1714,0.6079,0.1138,0.1981,0.678412698,0.1616,0.1645,0.751453488,0.2094,0.1977,0.0137,0.0226,0.0077,35.95,45.38,12.01,19.09,5.32,-1.63,-18.35,40.69387346,47.1971548,36.88,11.82,0.281398104,25.2,0.215841584,0.073641998,0.84283247,0.83,RP,0,0.471279777,-0.05728746,0.468013155
dustin may,298.4,264.1,63.8,40.6,11.5,3,8.7,63.8,26.7,0.318258903,0.71720297,0.8394,0.265,0.2167,0.5183,0.1784,0.2911,0.545079365,0.2307,0.234,0.612403101,0.236,0.2636,-0.0178,-0.0261,-0.0194,36.15,63.15,8.71,22.72,5.29,-4.04,-29.65,55.6226203,66.33644989,44.81,9.86,0.253554502,31.91,0.211881188,0.273423259,0.466148532,3.006,SP,27,0.437465236,-0.807824127,0.367109441
dylan cease,670.4,594,134.5,84.1,30.6,2.1,17.7,195.5,63.3,0.734878462,0.516089109,0.7725,0.3766,0.3036,0.3198,0.2212,0.3736,0.26984127,0.2968,0.2997,0.424903101,0.3793,0.3769,0.0063,0.003,0.0012,71.42,89.3,15.41,35.13,8.69,-6.69,-39.45,78.57471252,94.24031111,69.02,21.57,0.825533175,48.07,0.635643564,0.368574553,0.397409326,4.312,SP,29,0.656321933,-1.660561746,0.437599032
edwin diaz,159.8,139.6,24.3,17.2,2.7,0.3,4.1,60.2,14.5,0.757207462,0.654084158,0.8611,0.2264,0.2159,0.5577,0.1408,0.2237,0.572380952,0.2063,0.2202,0.756782946,0.2698,0.2765,-0.0019,0.0027,-0.0036,57.06,70.17,10.22,26.28,4.29,-5.34,-28.39,61.07631318,75.03096735,52.67,23.88,0.788803318,37.22,0.215841584,0,1,0,RP,31,0.745976655,-1.18601381,0.479228666
