Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
starling marte,RF,516782,2024,35,335,370,90,67,13,3,7,81,27,21.9,7.3,0.269,0.388,0.327,0.715,40,126,1,16,0.287,0.425,0.313,0.337,0.344,0.138,0.369,0.403,-0.018,-0.037,-0.024,72.4,89.8,4.3,37.1,6.9,7.3,42.9,101.2020562,94.944189,69.2,18.4,28.4,50.2,-8,27.1
kyle schwarber,LF,656941,2024,31,573,692,142,82,22,0,38,197,106,28.5,15.3,0.248,0.485,0.366,0.851,104,183,3,5,0.256,0.512,0.366,0.38,0.374,0.256,0.463,0.489,-0.008,-0.027,-0.014,77.5,93.6,15,31.8,15.6,7.3,55.5,105.1545278,97.52984344,60.6,23.7,32,39.9,,25.8
j.t. realmuto,C,592663,2024,33,380,413,101,68,18,1,14,102,27,24.7,6.5,0.266,0.429,0.322,0.751,47,168,2,2,0.268,0.459,0.326,0.339,0.324,0.191,0.404,0.424,-0.002,-0.03,-0.013,73.2,89.2,9.4,36.9,10.4,9.7,46.6,101.2486538,94.90998284,69.4,17.6,26.2,50.5,,28.4
cody bellinger,CF,641355,2024,28,516,569,137,93,23,3,18,89,45,15.6,7.9,0.266,0.426,0.325,0.751,78,232,2,9,0.242,0.391,0.322,0.301,0.305,0.149,0.353,0.326,0.024,0.035,0.021,69,87.8,17.4,32.9,6.3,3.9,32.9,97.31402921,92.76835107,67.1,16,22.2,49.8,-1,28.4
pete alonso,1B,624413,2024,29,608,695,146,81,31,0,34,172,70,24.7,10.1,0.24,0.459,0.329,0.788,88,291,0,3,0.242,0.461,0.34,0.343,0.332,0.219,0.409,0.414,-0.002,-0.002,-0.003,75.2,89.8,14.4,30.5,13.2,6.6,46.4,102.7851147,95.69908611,61,14.1,24.7,42.9,,26.1
joc pederson,DH,592626,2024,32,367,449,101,60,17,1,23,105,55,23.4,12.2,0.275,0.515,0.393,0.908,64,140,4,7,0.261,0.477,0.391,0.376,0.384,0.216,0.464,0.439,0.014,0.038,0.015,73.4,92.3,16.9,34.2,12.8,5.6,46.2,102.6485995,95.86406189,60.7,17.9,25,44,,25.5
ha-seong kim,SS,673490,2024,28,403,470,94,64,16,3,11,77,58,16.4,12.3,0.233,0.37,0.33,0.7,47,178,5,22,0.245,0.352,0.308,0.313,0.344,0.107,0.316,0.323,-0.012,0.018,-0.005,69,87.9,15.1,36.6,4.8,4.8,35.4,98.62178099,93.41259733,55.2,13.4,16.1,38,,28.3
lourdes gurriel jr.,OF,666971,2024,30,513,553,143,101,22,2,18,101,29,18.3,5.2,0.279,0.435,0.322,0.757,75,220,1,7,0.267,0.421,0.327,0.319,0.312,0.154,0.376,0.365,0.012,0.014,0.008,70.6,88.4,15.7,33.8,6.7,7.2,40,99.54934847,93.92185029,69.5,11.8,20.2,51.1,3,26.6
trevor story,SS,596115,2024,31,94,106,24,15,7,0,2,33,11,31.1,10.4,0.255,0.394,0.34,0.734,10,41,3,6,0.193,0.29,0.318,0.255,0.284,0.097,0.428,0.322,0.062,0.104,0.063,68.8,86.1,18.6,37.7,6.6,3.3,29.5,96.37601742,92.31155377,70.1,17.1,30.3,52.3,,28.1
alex bregman,3B,608324,2024,30,581,634,151,93,30,2,26,86,44,13.6,6.9,0.26,0.453,0.315,0.768,75,269,1,3,0.257,0.417,0.331,0.319,0.314,0.16,0.353,0.338,0.003,0.036,0.012,71.3,89.1,18.2,34.9,6.4,7.4,40.5,98.98652795,93.68416098,65.6,8.7,12.8,44.9,,26.7
tyler o'neill,LF,641933,2024,29,411,473,99,50,18,0,31,159,53,33.6,11.2,0.241,0.511,0.336,0.847,61,172,0,4,0.213,0.48,0.36,0.339,0.313,0.267,0.513,0.475,0.028,0.031,0.021,75.2,90.9,20.2,34.6,17.3,7.9,48.8,102.8197679,95.79760524,65.2,24.4,34.1,44.6,-4,27.5
elias diaz,C,553869,2024,33,325,351,86,60,20,0,6,69,20,19.7,5.7,0.265,0.382,0.313,0.695,39,152,0,0,0.242,0.343,0.303,0.28,0.293,0.101,0.35,0.319,0.023,0.039,0.023,73.9,87.1,7.6,31,4.7,4.3,34.5,99.03211906,93.54315234,76.1,18.4,27.8,53.8,,24.4
thairo estrada,2B,642731,2024,28,364,381,79,53,15,2,9,76,10,19.9,2.6,0.217,0.343,0.247,0.59,47,179,2,2,0.226,0.338,0.256,0.263,0.257,0.112,0.301,0.309,-0.009,0.005,-0.007,71,86.2,10.5,30.3,4.8,5.9,31.7,97.31710125,92.67848746,67.5,9.9,20.5,51.3,,28
randal grichuk,RF,545341,2024,32,254,279,74,40,20,2,12,46,20,16.5,7.2,0.291,0.528,0.348,0.876,46,121,0,0,0.278,0.483,0.373,0.359,0.338,0.206,0.42,0.401,0.013,0.045,0.014,73.7,90.6,17.3,34.3,11,7.6,47.6,102.4366337,95.6010481,67.6,11.3,20.4,47.3,-1,27.5
