Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
jorge mateo,SS,622761,2023,28,318,350,69,46,14,2,7,82,22,23.4,6.3,0.217,0.34,0.267,0.607,34,139,5,32,0.24,0.371,0.265,0.289,0.29,0.131,0.315,0.349,-0.023,-0.031,-0.024,73.4,88.4,10.4,28.3,5.3,9.4,38.5,100.4314197,94.29545527,68.1,15.9,28.1,50.3,,30.1
tom murphy,C,608596,2023,32,145,159,42,22,12,0,8,44,10,27.7,6.3,0.29,0.538,0.335,0.873,17,59,0,0,0.261,0.498,0.367,0.351,0.315,0.237,0.489,0.464,0.029,0.04,0.016,72.5,89.5,13.7,40.8,14.6,4.9,44.7,101.3519477,95.06478515,73.1,21.5,30.4,52.1,,26
luis robert jr.,CF,673357,2023,25,546,595,144,69,36,1,38,172,30,28.9,5,0.264,0.542,0.315,0.857,80,231,4,20,0.262,0.518,0.358,0.35,0.314,0.256,0.488,0.475,0.002,0.024,0.008,75.9,89.1,16.1,38,15.4,5.6,42.3,101.8444782,95.05043424,78.1,21.4,33.5,58.3,12,28.7
taylor walls,SS,670764,2023,26,303,349,61,39,12,2,8,92,44,26.4,12.6,0.201,0.333,0.305,0.638,36,137,1,22,0.2,0.295,0.287,0.274,0.303,0.095,0.325,0.304,0.001,0.038,0.013,69.3,86.7,19.1,32.1,3.3,5.7,28.8,95.82587276,91.91812643,65.6,21.6,27.2,43,,28.2
salvador perez,C,521692,2023,33,538,580,137,93,21,0,23,135,19,23.3,3.3,0.255,0.422,0.292,0.714,80,213,0,0,0.266,0.46,0.302,0.325,0.306,0.194,0.375,0.407,-0.011,-0.038,-0.023,72.7,90.1,15.6,38,8.8,9.7,44,101.3574125,94.95568329,77.5,19.7,30.2,60.2,,24.3
william contreras,C,661388,2023,25,540,611,156,100,38,1,17,126,63,20.6,10.3,0.289,0.457,0.367,0.824,78,235,1,6,0.255,0.433,0.357,0.335,0.338,0.179,0.411,0.379,0.034,0.024,0.022,73.8,91.3,4.7,27.1,9.4,6.2,48.7,103.2413294,96.0978465,62.6,21,28,43.2,,26.5
brandon lowe,2B,664040,2023,28,377,436,87,50,15,1,21,119,50,27.3,11.5,0.231,0.443,0.328,0.771,68,164,0,7,0.232,0.446,0.334,0.338,0.33,0.214,0.408,0.415,-0.001,-0.003,-0.004,73.2,91.4,16,32.6,10.7,7.3,47.5,101.419436,95.21907709,75.3,19.6,32,51.6,,27.3
max muncy,1B,571970,2023,32,482,579,102,48,17,1,36,153,85,26.4,14.7,0.212,0.475,0.333,0.808,105,269,2,1,0.235,0.504,0.344,0.364,0.353,0.269,0.41,0.443,-0.023,-0.029,-0.02,71.3,91.2,21.7,33.7,14.6,8.4,46.6,101.3153086,95.11269018,57.2,20.8,29.6,39.3,,26.9
max muncy,1B,571970,2023,32,482,579,102,48,17,1,36,153,85,26.4,14.7,0.212,0.475,0.333,0.808,105,269,2,1,0.235,0.504,0.344,0.364,0.353,0.269,0.41,0.443,-0.023,-0.029,-0.02,71.3,91.2,21.7,33.7,14.6,8.4,46.6,101.3153086,95.11269018,57.2,20.8,29.6,39.3,,26.9
tyler wade,SS,642180,2023,28,51,55,13,11,1,1,0,13,4,23.6,7.3,0.255,0.314,0.309,0.623,2,22,0,4,0.215,0.272,0.278,0.246,0.272,0.058,0.329,0.282,0.04,0.042,0.032,,85.3,8.6,21.1,0,2.6,23.7,96.3496675,92.27018594,56.9,13.6,23.3,43.9,,28.9
