Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
john means,SP,607644,2023,30,88,82,13,5,4,0,4,10,4,11.4,4.5,0.159,0.354,0.205,0.559,0.258,0.475,0.238,0.328,0.297,0.218,0.238,0.347,-0.099,-0.121,-0.09,71.3,86.9,24.1,35.6,8.2,6.8,37,75.79152676,93.15272,69.8,16,16.4,52.2
andres munoz,RP,662253,2023,24,211,184,40,28,10,0,2,67,22,31.8,10.4,0.217,0.304,0.318,0.622,0.204,0.286,0.279,0.267,0.306,0.082,0.352,0.331,0.013,0.018,0.012,71.5,88.4,1.8,29.9,5.1,7.7,35.9,76.95025627,94.02528786,64.5,29.3,39.4,48
colin rea,RP,607067,2023,32,517,468,110,66,18,3,23,110,38,21.3,7.4,0.235,0.434,0.296,0.73,0.253,0.432,0.313,0.323,0.313,0.179,0.363,0.378,-0.018,0.002,-0.01,71.7,90.4,13,34.5,7.7,5.8,43.3,79.91455422,94.82878625,67.8,16.7,24,47.9
kyle hart,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler kinley,RP,641755,2023,32,76,66,21,14,4,0,3,17,6,22.4,7.9,0.318,0.515,0.373,0.888,0.253,0.421,0.377,0.331,0.326,0.168,0.458,0.39,0.065,0.094,0.046,71.4,88.8,25,42.3,7.7,9.6,32.7,80.18084962,93.10866059,73.5,16.2,23,49.7
jonathan loaisiga,RP,642528,2023,28,69,64,14,11,1,0,2,6,1,8.7,1.4,0.219,0.328,0.246,0.574,0.23,0.325,0.241,0.253,0.261,0.096,0.249,0.263,-0.011,0.003,-0.012,71.2,85.2,9,23.3,1.7,6.7,30,73.36370967,92.5822595,69.7,11.8,15.5,54.7
brooks raley,RP,548384,2023,35,236,203,44,29,11,0,4,61,25,25.8,10.6,0.217,0.33,0.319,0.649,0.211,0.32,0.289,0.284,0.315,0.109,0.331,0.323,0.006,0.01,0.005,71.6,85.8,15.7,31.3,4.9,4.9,29.2,73.90063394,92.88327916,61.6,17.5,29.3,43.4
jose urquidy,SP,664353,2023,28,275,247,65,41,12,1,11,45,25,16.4,9.1,0.263,0.453,0.335,0.788,0.259,0.425,0.34,0.332,0.332,0.166,0.368,0.357,0.004,0.028,0.008,71.9,86.6,17.4,37.9,8.9,4.9,34,75.04540667,93.08130783,72,20.1,25,51.4
jose quijada,RP,650671,2023,27,41,36,8,7,1,0,0,8,3,19.5,7.3,0.222,0.25,0.317,0.567,0.287,0.442,0.267,0.358,0.374,0.155,0.265,0.398,-0.065,-0.192,-0.091,,90.3,15,39.3,7.1,10.7,50,77.45216357,95.88954929,68.2,19,22.9,51.6
alex vesia,RP,681911,2023,27,217,198,52,37,7,1,7,64,17,29.5,7.8,0.263,0.414,0.327,0.741,0.231,0.391,0.318,0.296,0.298,0.16,0.425,0.389,0.032,0.023,0.022,71.2,92.1,23.8,30.6,8.2,9.7,42.5,82.57136227,95.23066371,72.8,23.7,30.3,50.8
brent suter,RP,608718,2023,33,292,261,65,49,11,2,3,55,25,18.8,8.6,0.249,0.341,0.32,0.661,0.229,0.316,0.294,0.279,0.303,0.087,0.318,0.296,0.02,0.025,0.015,70.8,84,11.9,28.7,3.3,3.3,26.3,71.87823475,92.1555801,64.1,14.2,22.2,44.3
tim hill,RP,657612,2023,33,202,178,59,42,9,1,7,26,14,12.9,6.9,0.331,0.511,0.395,0.906,0.277,0.431,0.39,0.342,0.35,0.154,0.415,0.353,0.054,0.08,0.048,70.3,89.9,1.9,21.8,5.1,5.1,44.2,78.49344908,95.20422338,67.5,11.2,15,50.1
drew smith,RP,622098,2023,29,244,208,50,26,13,4,7,60,29,24.6,11.9,0.24,0.442,0.344,0.786,0.224,0.395,0.341,0.322,0.332,0.172,0.396,0.366,0.016,0.047,0.019,71.9,89.5,22.7,38,10.7,6.7,39.3,79.45313947,93.8532688,71.3,22.2,26,46.5
justin topa,RP,623437,2023,32,279,254,61,49,6,2,4,61,18,21.9,6.5,0.24,0.327,0.295,0.622,0.231,0.32,0.269,0.268,0.291,0.089,0.316,0.315,0.009,0.007,0.001,70.5,87.5,2.6,26.9,3,4.1,36.5,75.93017432,93.63747979,62.8,14.2,19.5,46.6
chris sale,SP,519242,2023,34,425,384,87,46,24,2,15,125,29,29.4,6.8,0.227,0.417,0.292,0.709,0.212,0.384,0.306,0.295,0.283,0.173,0.396,0.379,0.015,0.033,0.011,71.2,87.9,15.6,33.5,8.4,9.5,34.6,77.43973923,93.22995853,63.6,21.6,29.7,48.1
elvin rodriguez,RP,660730,2023,25,10,10,0,0,0,0,0,5,0,50,0,0,0,0,0,0.117,0.178,0,0.125,0.117,0.06,0,0.249,-0.117,-0.178,-0.125,,84.6,24.5,40,20,0,20,73.84918333,93.106618,72,38.9,40.9,46.8
