Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
81,Gavin Stone,25,LAD,NL,1.8,11,5,0.688,3.53,25,25,0,1,1,0,140.1,133,55,55,18,37,0,116,2,0,9,580,113,4.01,1.211,8.5,1.2,2.4,7.4,3.14,
82,Andrew Abbott*,25,CIN,NL,3.3,10,10,0.5,3.72,25,25,0,0,0,0,138,127,60,57,25,52,1,114,2,0,5,586,118,5.04,1.297,8.3,1.6,3.4,7.4,2.19,
83,Taj Bradley,23,TBR,AL,1.7,8,11,0.421,4.11,25,25,0,0,0,0,138,122,68,63,22,47,0,154,3,0,4,578,97,4.09,1.225,8,1.4,3.1,10,3.28,
84,Tobias Myers,25,MIL,NL,2.7,9,6,0.6,3,27,25,0,0,0,0,138,126,52,46,18,36,0,127,5,5,4,569,137,3.91,1.174,8.2,1.2,2.3,8.3,3.53,
85,Reynaldo López,30,ATL,NL,5.1,8,5,0.615,1.99,26,25,0,0,0,0,135.2,108,32,30,10,42,0,148,2,1,2,543,208,2.92,1.106,7.2,0.7,2.8,9.8,3.52,"AS,CYA-11"
86,Luis Ortiz,25,PIT,NL,3.1,7,6,0.538,3.32,37,15,2,0,0,1,135.2,109,56,50,16,42,3,107,9,1,2,556,124,4.25,1.113,7.2,1.1,2.8,7.1,2.55,
87,Joe Ryan,28,MIN,AL,2.3,7,7,0.5,3.6,23,23,0,0,0,0,135,110,59,54,19,23,0,147,5,1,2,538,115,3.44,0.985,7.3,1.3,1.5,9.8,6.39,
88,Martín Pérez*,33,2TM,NL,0.9,5,6,0.455,4.53,26,26,0,0,0,0,135,151,71,68,22,49,0,107,5,1,2,590,91,4.9,1.481,10.1,1.5,3.3,7.1,2.18,
89,Justin Steele*,28,CHC,NL,1.9,5,5,0.5,3.07,24,24,0,1,0,0,134.2,111,54,46,12,37,0,135,4,0,1,555,128,3.23,1.099,7.4,0.8,2.5,9,3.65,
90,Tyler Glasnow,30,LAD,NL,1.9,9,6,0.6,3.49,22,22,0,0,0,0,134,92,53,52,15,35,0,168,0,1,12,522,114,2.9,0.948,6.2,1,2.4,11.3,4.8,AS
91,Albert Suárez,34,BAL,AL,2.2,9,7,0.563,3.7,32,24,1,0,0,0,133.2,130,56,55,17,43,1,108,3,1,2,565,105,4.24,1.294,8.8,1.1,2.9,7.3,2.51,
92,Simeon Woods Richardson,23,MIN,AL,2,5,5,0.5,4.17,28,28,0,0,0,0,133.2,125,63,62,16,48,0,117,3,0,3,569,99,4.12,1.294,8.4,1.1,3.2,7.9,2.44,
93,Paul Skenes,22,PIT,NL,5.9,11,3,0.786,1.96,23,23,0,0,0,0,133,94,31,29,10,32,0,170,6,1,2,514,209,2.44,0.947,6.4,0.7,2.2,11.5,5.31,"AS,CYA-3,MVP-19,ROY-1"
94,Kyle Hendricks,34,CHC,NL,-1.5,4,12,0.25,5.92,29,24,4,0,0,0,130.2,147,88,86,21,43,0,87,3,0,0,567,67,4.98,1.454,10.1,1.4,3,6,2.02,
95,Michael Lorenzen,32,2TM,AL,2.7,7,6,0.538,3.31,26,24,1,0,0,0,130.1,101,49,48,17,60,0,97,6,0,3,536,117,4.89,1.235,7,1.2,4.1,6.7,1.62,
96,Ryan Pepiot,26,TBR,AL,2.1,8,8,0.5,3.6,26,26,0,0,0,0,130,102,58,52,17,48,0,142,7,0,4,539,111,3.95,1.154,7.1,1.2,3.3,9.8,2.96,
97,Dean Kremer,28,BAL,AL,0.6,8,10,0.444,4.1,24,24,0,0,0,0,129.2,110,72,59,18,51,0,123,3,1,1,553,95,4.32,1.242,7.6,1.2,3.5,8.5,2.41,
98,Alec Marsh,26,KCR,AL,0.8,9,9,0.5,4.53,26,25,1,0,0,0,129,123,70,65,19,39,1,123,11,1,3,548,90,4.34,1.256,8.6,1.3,2.7,8.6,3.15,
99,Joey Estes,22,OAK,AL,0.6,7,9,0.438,5.01,25,24,0,1,1,0,127.2,130,73,71,23,27,1,92,10,0,3,543,79,4.94,1.23,9.2,1.6,1.9,6.5,3.41,
100,Jonathan Cannon,23,CHW,AL,1.9,5,10,0.333,4.49,23,21,1,0,0,1,124.1,125,65,62,18,40,0,91,4,1,2,522,93,4.65,1.327,9,1.3,2.9,6.6,2.28,
101,Kyle Harrison*,22,SFG,NL,0.7,7,7,0.5,4.56,24,24,0,0,0,0,124.1,125,65,63,18,42,0,118,7,1,2,532,85,4.33,1.343,9,1.3,3,8.5,2.81,
102,Trevor Rogers*,26,2TM,2LG,0.9,2,11,0.154,4.92,25,25,0,0,0,0,124.1,140,74,68,14,56,2,97,4,1,1,562,86,4.52,1.576,10.1,1,4.1,7,1.73,
103,Spencer Schwellenbach,24,ATL,NL,2.7,8,7,0.533,3.35,21,21,0,0,0,0,123.2,106,49,46,14,23,1,127,6,0,3,500,124,3.29,1.043,7.7,1,1.7,9.2,5.52,
104,Jared Jones,22,PIT,NL,1.7,6,8,0.429,4.14,22,22,0,0,0,0,121.2,106,60,56,18,39,1,132,5,0,3,504,99,4,1.192,7.8,1.3,2.9,9.8,3.38,
105,Andre Pallante,25,STL,NL,1.7,8,8,0.5,3.78,29,20,1,0,0,0,121.1,110,55,51,8,48,0,94,2,2,12,509,109,3.71,1.302,8.2,0.6,3.6,7,1.96,
106,Bryan Woo,24,SEA,AL,2.3,9,3,0.75,2.89,22,22,0,0,0,0,121.1,96,41,39,14,13,0,101,3,0,0,472,128,3.4,0.898,7.1,1,1,7.5,7.77,
107,David Peterson*,28,NYM,NL,2.9,10,3,0.769,2.9,21,21,0,0,0,0,121,110,44,39,8,46,0,101,7,1,4,510,136,3.67,1.289,8.2,0.6,3.4,7.5,2.2,
108,Lance Lynn,37,STL,NL,0.3,7,4,0.636,3.84,23,23,0,0,0,0,117.1,113,64,50,16,44,0,109,4,0,3,511,107,4.31,1.338,8.7,1.2,3.4,8.4,2.48,
109,Jordan Montgomery*,31,ARI,NL,-1.4,8,7,0.533,6.23,25,21,3,0,0,1,117,149,83,81,14,44,3,83,2,0,7,532,68,4.48,1.65,11.5,1.1,3.4,6.4,1.89,
110,Grayson Rodriguez,24,BAL,AL,1.4,13,4,0.765,3.86,20,20,0,0,0,0,116.2,109,52,50,15,36,0,130,5,0,6,491,100,3.66,1.243,8.4,1.2,2.8,10,3.61,
111,Nick Lodolo*,26,CIN,NL,1.2,9,6,0.6,4.76,21,21,0,0,0,0,115.1,101,62,61,13,37,0,122,18,0,1,493,92,3.95,1.197,7.9,1,2.9,9.5,3.3,
112,Kyle Freeland*,31,COL,NL,0,5,8,0.385,5.24,21,21,0,0,0,0,113.1,134,73,66,22,26,0,85,1,0,1,490,90,4.9,1.412,10.6,1.7,2.1,6.8,3.27,
113,José Soriano,25,LAA,AL,1.9,6,7,0.462,3.42,22,20,1,0,0,0,113,91,50,43,8,45,1,97,9,0,7,468,121,3.8,1.204,7.2,0.6,3.6,7.7,2.16,
114,Kenta Maeda,36,DET,AL,-1.8,3,7,0.3,6.09,29,17,2,0,0,0,112.1,124,80,76,22,31,0,96,5,0,3,485,68,4.96,1.38,9.9,1.8,2.5,7.7,3.1,
115,Reese Olson,24,DET,AL,1.3,4,8,0.333,3.53,22,22,0,0,0,0,112.1,100,51,44,7,33,0,101,4,0,4,465,118,3.17,1.184,8,0.6,2.6,8.1,3.06,
116,Cole Irvin*,30,2TM,AL,-0.8,6,6,0.5,5.11,29,16,4,0,0,1,111,132,71,63,18,29,1,78,6,0,2,492,76,4.81,1.45,10.7,1.5,2.4,6.3,2.69,
117,Jordan Hicks,27,SFG,NL,0.9,4,7,0.364,4.1,29,20,2,0,0,1,109.2,112,54,50,12,47,0,96,9,2,7,481,94,4.37,1.45,9.2,1,3.9,7.9,2.04,
118,José Ureña,32,TEX,AL,0.6,5,8,0.385,3.8,33,9,8,0,0,1,109,105,51,46,13,39,2,70,4,0,3,463,100,4.62,1.321,8.7,1.1,3.2,5.8,1.79,
119,Tyler Alexander*,29,TBR,AL,0.3,6,5,0.545,5.1,23,9,1,0,0,0,107.2,110,61,61,23,24,1,90,5,0,0,455,78,5.08,1.245,9.2,1.9,2,7.5,3.75,
120,Bryse Wilson,26,MIL,NL,0.9,5,4,0.556,4.04,34,9,7,0,0,0,104.2,102,49,47,20,31,0,82,4,1,3,442,102,5.09,1.271,8.8,1.7,2.7,7.1,2.65,
121,Blake Snell*,31,SFG,NL,2.1,5,3,0.625,3.12,20,20,0,1,1,0,104,65,38,36,6,44,0,145,1,0,8,418,124,2.43,1.048,5.6,0.5,3.8,12.5,3.3,
122,Carlos Carrasco,37,CLE,AL,-1.2,3,10,0.231,5.64,21,21,0,0,0,0,103.2,112,68,65,19,33,0,89,5,0,5,447,71,4.93,1.399,9.7,1.6,2.9,7.7,2.7,
123,Bowden Francis,28,TOR,AL,1.6,8,5,0.615,3.3,27,13,7,0,0,0,103.2,74,41,38,17,22,0,92,7,1,0,408,125,4.36,0.926,6.4,1.5,1.9,8,4.18,
124,Jon Gray,32,TEX,AL,0.4,5,6,0.455,4.47,23,19,2,0,0,0,102.2,107,54,51,11,28,1,86,0,0,1,439,85,3.7,1.315,9.4,1,2.5,7.5,3.07,
125,Casey Mize,27,DET,AL,0.2,2,6,0.25,4.49,22,20,0,0,0,0,102.1,121,57,51,11,29,0,78,2,1,2,452,93,3.95,1.466,10.6,1,2.6,6.9,2.69,
126,James Paxton*,35,2TM,2LG,0.1,9,3,0.75,4.4,21,21,0,0,0,0,100.1,95,53,49,12,50,0,73,1,0,4,437,91,4.79,1.445,8.5,1.1,4.5,6.5,1.46,
