,Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
10,luis urias,3B,649966.0,2024.0,27.0,94.0,109.0,18.0,7.0,7.0,0.0,4.0,34.0,9.0,31.2,8.3,0.191,0.394,0.303,0.697,16.0,37.0,0.0,0.0,0.206,0.4,0.309,0.318,0.315,0.194,0.386,0.402,-0.015,-0.006,-0.009,68.3,87.1,19.2,43.3,11.7,6.7,35.0,99.36257267,93.8120925,65.8,18.9,23.1,46.9,0.0,26.0
11,mark canha,1B,592192.0,2024.0,35.0,393.0,462.0,95.0,68.0,20.0,0.0,7.0,96.0,51.0,20.8,11.0,0.242,0.346,0.344,0.69,42.0,175.0,0.0,7.0,0.212,0.306,0.31,0.288,0.322,0.094,0.329,0.296,0.03,0.04,0.022,68.4,88.4,9.6,31.5,3.3,5.0,37.4,98.15916642,93.21932692,59.4,17.0,21.8,41.6,-2.0,27.8
12,austin slater,LF,596103.0,2024.0,31.0,177.0,212.0,37.0,31.0,4.0,0.0,2.0,60.0,26.0,28.3,12.3,0.209,0.266,0.321,0.587,18.0,74.0,2.0,3.0,0.232,0.319,0.273,0.303,0.341,0.088,0.301,0.353,-0.023,-0.053,-0.03,71.9,88.2,7.2,37.2,3.3,6.6,37.2,98.37326017,93.49132026,66.2,24.7,29.8,43.0,-1.0,28.2
13,michael a. taylor,CF,572191.0,2024.0,33.0,269.0,300.0,52.0,37.0,9.0,1.0,5.0,105.0,23.0,35.0,7.7,0.193,0.29,0.253,0.543,21.0,119.0,1.0,12.0,0.204,0.333,0.242,0.27,0.267,0.129,0.332,0.382,-0.011,-0.043,-0.028,74.0,89.3,13.7,31.4,11.6,1.7,40.1,100.5831641,94.54835778,68.0,27.1,39.2,49.3,10.0,28.5
14,jacob stallings,C,607732.0,2024.0,34.0,243.0,281.0,64.0,37.0,17.0,1.0,9.0,65.0,27.0,23.1,9.6,0.263,0.453,0.357,0.81,36.0,106.0,0.0,0.0,0.235,0.381,0.353,0.318,0.334,0.146,0.413,0.36,0.028,0.072,0.035,67.6,86.6,12.8,38.9,7.2,7.2,34.4,97.81667584,92.98667701,64.4,20.7,29.8,45.4,0.0,23.9
15,brendan rodgers,2B,663898.0,2024.0,27.0,501.0,539.0,134.0,91.0,29.0,1.0,13.0,132.0,31.0,24.5,5.8,0.267,0.407,0.314,0.721,54.0,190.0,0.0,1.0,0.248,0.377,0.314,0.295,0.297,0.129,0.39,0.364,0.019,0.03,0.019,71.7,89.3,4.9,33.1,5.6,7.0,44.1,101.1532692,94.77396442,69.2,15.0,25.9,49.3,0.0,26.0
16,amed rosario,SS,642708.0,2024.0,28.0,332.0,346.0,93.0,69.0,18.0,3.0,3.0,73.0,9.0,21.1,2.6,0.28,0.38,0.306,0.686,32.0,165.0,5.0,13.0,0.25,0.359,0.299,0.28,0.278,0.109,0.363,0.337,0.03,0.021,0.019,71.2,86.9,4.6,33.5,4.6,3.8,36.2,98.55993246,93.29041423,72.6,14.6,24.6,55.2,-4.0,29.0
17,rob refsnyder,RF,608701.0,2024.0,33.0,272.0,307.0,77.0,49.0,16.0,1.0,11.0,78.0,28.0,25.4,9.1,0.283,0.471,0.359,0.83,40.0,119.0,2.0,2.0,0.252,0.412,0.358,0.326,0.333,0.16,0.448,0.399,0.031,0.059,0.032,72.8,89.6,10.7,32.8,9.7,4.6,43.1,101.6230719,95.03426717,65.9,20.1,28.1,46.2,-2.0,27.3
18,dylan moore,2B,664238.0,2024.0,31.0,368.0,441.0,74.0,37.0,23.0,4.0,10.0,123.0,53.0,27.9,12.0,0.201,0.367,0.32,0.687,42.0,151.0,6.0,32.0,0.201,0.324,0.306,0.297,0.323,0.124,0.353,0.338,0.0,0.043,0.009,73.0,88.4,22.6,38.2,8.8,6.0,36.3,98.78016696,93.44884728,65.3,19.3,24.8,42.4,0.0,28.0
19,jose iglesias,3B,578428.0,2024.0,34.0,270.0,291.0,91.0,70.0,16.0,1.0,4.0,39.0,12.0,13.4,4.1,0.337,0.448,0.381,0.829,26.0,90.0,2.0,6.0,0.285,0.369,0.362,0.314,0.336,0.084,0.395,0.334,0.052,0.079,0.048,69.8,85.8,9.0,36.2,2.2,4.3,30.6,96.96459276,92.51338767,64.8,12.1,15.2,52.5,0.0,28.6
20,gary sánchez,DH,596142.0,2024.0,31.0,245.0,280.0,54.0,35.0,7.0,1.0,11.0,76.0,27.0,27.1,9.6,0.22,0.392,0.307,0.699,37.0,113.0,0.0,0.0,0.219,0.399,0.307,0.309,0.306,0.181,0.371,0.374,0.001,-0.007,-0.002,73.1,90.0,16.2,31.4,10.5,7.6,44.2,101.8923507,95.12959401,55.1,20.9,30.4,40.7,0.0,24.8
21,miguel andujar,3B,609280.0,2024.0,29.0,302.0,319.0,86.0,67.0,14.0,1.0,4.0,42.0,13.0,13.2,4.1,0.285,0.377,0.32,0.697,30.0,102.0,2.0,3.0,0.26,0.337,0.306,0.282,0.296,0.077,0.331,0.301,0.025,0.04,0.024,71.6,86.1,9.2,26.1,2.7,3.1,33.7,97.86498076,92.95536149,66.2,7.0,16.0,50.4,-7.0,26.6
22,donovan solano,2B,456781.0,2024.0,36.0,283.0,309.0,81.0,60.0,13.0,0.0,8.0,65.0,22.0,21.0,7.1,0.286,0.417,0.343,0.76,35.0,107.0,1.0,2.0,0.257,0.378,0.333,0.307,0.317,0.121,0.391,0.354,0.029,0.039,0.026,67.1,87.3,13.7,37.0,3.7,7.3,37.4,98.05769505,93.16745491,63.8,13.6,23.5,47.2,0.0,25.5
23,ryan o'hearn,DH,656811.0,2024.0,30.0,443.0,494.0,117.0,78.0,21.0,3.0,15.0,69.0,46.0,14.0,9.3,0.264,0.427,0.334,0.761,59.0,194.0,1.0,3.0,0.278,0.461,0.33,0.351,0.348,0.183,0.347,0.374,-0.014,-0.034,-0.021,72.4,89.6,12.0,35.0,6.9,9.3,40.1,99.73315096,94.09578739,67.7,10.3,18.1,46.7,0.0,27.8
24,austin hedges,C,595978.0,2024.0,31.0,132.0,146.0,20.0,15.0,3.0,0.0,2.0,50.0,6.0,34.2,4.1,0.152,0.22,0.203,0.423,15.0,66.0,0.0,2.0,0.127,0.179,0.191,0.166,0.18,0.052,0.251,0.208,0.025,0.041,0.025,69.8,84.8,21.4,24.1,1.1,5.7,24.1,94.67825512,91.40061728,76.0,23.6,32.9,54.5,0.0,25.3
25,tommy pham,RF,502054.0,2024.0,36.0,440.0,478.0,109.0,77.0,20.0,3.0,9.0,106.0,35.0,22.2,7.3,0.248,0.368,0.305,0.673,39.0,125.0,3.0,7.0,0.263,0.407,0.297,0.319,0.32,0.144,0.347,0.379,-0.015,-0.039,-0.022,72.6,90.4,11.0,32.2,7.2,7.8,42.7,101.1059354,94.88320967,59.8,15.9,22.5,40.5,-2.0,27.2
26,adam frazier,2B,624428.0,2024.0,32.0,262.0,294.0,53.0,38.0,10.0,1.0,4.0,59.0,22.0,20.1,7.5,0.202,0.294,0.282,0.576,22.0,97.0,0.0,3.0,0.238,0.318,0.261,0.286,0.314,0.08,0.275,0.311,-0.036,-0.024,-0.025,66.5,84.5,15.3,37.9,2.9,4.9,22.8,95.00580842,91.56076313,65.3,11.2,18.8,47.0,0.0,26.7
27,andrew mccutchen,DH,457705.0,2024.0,37.0,448.0,515.0,104.0,65.0,18.0,1.0,20.0,133.0,58.0,25.8,11.3,0.232,0.411,0.328,0.739,50.0,169.0,2.0,3.0,0.227,0.421,0.325,0.327,0.324,0.194,0.386,0.391,0.005,-0.01,-0.002,72.7,88.5,14.3,31.9,12.0,5.7,36.9,99.42496289,93.83112309,65.6,22.3,28.9,42.0,0.0,26.8
28,trent grisham,CF,663757.0,2024.0,27.0,179.0,209.0,34.0,17.0,8.0,0.0,9.0,57.0,22.0,27.3,10.5,0.19,0.385,0.29,0.675,31.0,72.0,1.0,1.0,0.199,0.385,0.295,0.302,0.299,0.186,0.351,0.362,-0.009,0.0,-0.007,70.4,90.6,20.0,25.6,12.0,7.2,46.4,100.3600503,94.64881186,56.9,17.8,23.3,37.2,2.0,26.9
29,wilmer flores,1B,527038.0,2024.0,32.0,214.0,242.0,44.0,28.0,12.0,0.0,4.0,33.0,20.0,13.6,8.3,0.206,0.318,0.277,0.595,26.0,113.0,0.0,0.0,0.221,0.339,0.262,0.285,0.298,0.118,0.258,0.287,-0.015,-0.021,-0.023,66.0,83.5,21.4,36.6,5.9,5.4,27.6,95.48438699,91.7875733,60.6,7.2,13.9,43.9,0.0,24.0
30,miguel rojas,SS,500743.0,2024.0,35.0,307.0,337.0,87.0,60.0,21.0,0.0,6.0,34.0,23.0,10.1,6.8,0.283,0.41,0.337,0.747,36.0,133.0,2.0,8.0,0.279,0.36,0.327,0.31,0.335,0.081,0.333,0.312,0.004,0.05,0.017,67.9,85.0,9.7,33.2,2.5,2.2,27.8,96.31782647,92.17444561,65.3,8.5,13.9,46.5,0.0,25.8
31,max stassi,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,josh bell,DH,605137.0,2024.0,31.0,538.0,603.0,134.0,90.0,23.0,2.0,19.0,120.0,51.0,19.9,8.5,0.249,0.405,0.319,0.724,71.0,221.0,1.0,0.0,0.235,0.391,0.317,0.307,0.307,0.157,0.357,0.343,0.014,0.014,0.01,70.4,88.9,10.5,31.4,7.6,6.2,40.1,100.0787113,94.16958744,73.4,18.8,26.8,48.8,0.0,25.4
33,victor caratini,C,605170.0,2024.0,30.0,245.0,274.0,66.0,49.0,8.0,1.0,8.0,53.0,23.0,19.3,8.4,0.269,0.408,0.336,0.744,30.0,124.0,1.0,0.0,0.262,0.395,0.324,0.322,0.332,0.134,0.365,0.362,0.007,0.013,0.002,71.9,91.2,9.3,35.9,5.6,6.2,43.1,100.5329097,94.88851892,67.5,15.3,23.3,47.2,0.0,24.4
34,willi castro,SS,650489.0,2024.0,27.0,558.0,635.0,138.0,90.0,31.0,5.0,12.0,150.0,51.0,23.6,8.0,0.247,0.385,0.331,0.716,60.0,236.0,9.0,14.0,0.244,0.381,0.317,0.32,0.332,0.137,0.366,0.371,0.003,0.004,-0.003,70.6,87.4,13.6,39.0,7.0,8.0,36.8,98.8517065,93.50130385,72.7,17.4,29.0,51.4,-4.0,27.9
35,eloy jimenez,DH,650391.0,2024.0,27.0,324.0,349.0,77.0,57.0,14.0,0.0,6.0,70.0,22.0,20.1,6.3,0.238,0.336,0.289,0.625,23.0,144.0,0.0,3.0,0.248,0.382,0.276,0.3,0.299,0.134,0.314,0.347,-0.01,-0.046,-0.024,73.9,92.0,4.3,25.1,7.8,3.9,49.0,103.1799978,96.16514303,70.1,15.3,26.2,50.3,0.0,25.2
36,jesse winker,LF,608385.0,2024.0,30.0,430.0,508.0,109.0,72.0,23.0,0.0,14.0,106.0,63.0,20.9,12.4,0.253,0.405,0.36,0.765,58.0,169.0,4.0,14.0,0.245,0.384,0.338,0.329,0.353,0.139,0.37,0.357,0.008,0.021,0.009,69.5,88.6,14.0,30.1,7.6,3.3,37.4,98.91091179,93.57027482,64.7,15.0,19.6,43.2,-9.0,26.1
37,isiah kiner-falefa,2B,643396.0,2024.0,29.0,465.0,496.0,125.0,95.0,18.0,4.0,8.0,78.0,16.0,15.7,3.2,0.269,0.376,0.306,0.682,43.0,175.0,2.0,11.0,0.251,0.346,0.299,0.283,0.292,0.095,0.332,0.312,0.018,0.03,0.016,67.0,86.1,9.1,31.6,2.3,5.1,29.7,96.69571958,92.34866123,60.8,9.4,14.8,46.1,0.0,27.8
38,lane thomas,RF,657041.0,2024.0,28.0,472.0,528.0,112.0,68.0,26.0,3.0,15.0,137.0,44.0,25.9,8.3,0.237,0.4,0.309,0.709,63.0,202.0,14.0,32.0,0.242,0.377,0.309,0.307,0.315,0.135,0.377,0.374,-0.005,0.023,0.002,71.7,88.8,17.0,31.5,7.4,7.1,40.6,100.3765554,94.3557595,64.0,17.2,23.3,43.8,-8.0,29.3
39,cedric mullins,CF,656775.0,2024.0,29.0,444.0,499.0,104.0,67.0,16.0,3.0,18.0,98.0,41.0,19.6,8.2,0.234,0.405,0.305,0.71,54.0,188.0,6.0,32.0,0.227,0.355,0.31,0.291,0.298,0.128,0.347,0.32,0.007,0.05,0.019,71.0,87.1,21.5,31.7,4.9,5.4,33.4,97.75960611,92.89369311,73.3,13.1,19.1,51.4,3.0,28.3
40,luis rengifo,SS,650859.0,2024.0,27.0,283.0,304.0,85.0,65.0,13.0,1.0,6.0,44.0,16.0,14.5,5.3,0.3,0.417,0.347,0.764,30.0,99.0,7.0,24.0,0.262,0.352,0.335,0.295,0.311,0.09,0.366,0.316,0.038,0.065,0.04,69.7,87.0,6.7,30.4,2.5,5.0,32.5,96.9891535,92.54892946,80.0,13.9,22.3,56.3,0.0,26.9
41,mike yastrzemski,CF,573262.0,2024.0,33.0,428.0,474.0,99.0,56.0,16.0,9.0,18.0,124.0,38.0,26.2,8.0,0.231,0.437,0.302,0.739,57.0,180.0,2.0,3.0,0.219,0.397,0.319,0.301,0.292,0.178,0.396,0.369,0.012,0.04,0.018,70.9,90.4,19.1,33.0,10.5,6.5,41.0,99.5562712,94.18678341,63.7,20.0,26.1,44.1,0.0,27.2
42,eugenio suarez,3B,553993.0,2024.0,32.0,571.0,640.0,146.0,86.0,28.0,2.0,30.0,176.0,49.0,27.5,7.7,0.256,0.469,0.319,0.788,101.0,266.0,1.0,2.0,0.247,0.447,0.337,0.33,0.314,0.201,0.433,0.421,0.009,0.022,0.007,72.2,89.1,19.5,40.4,11.3,8.9,42.4,100.5705523,94.46343899,66.9,18.8,29.1,47.2,0.0,26.5
43,max kepler,RF,596146.0,2024.0,31.0,368.0,399.0,93.0,63.0,21.0,1.0,8.0,80.0,22.0,20.1,5.5,0.253,0.38,0.302,0.682,42.0,163.0,0.0,1.0,0.247,0.381,0.298,0.301,0.3,0.134,0.343,0.348,0.006,-0.001,-0.003,71.4,88.9,16.8,35.4,6.2,7.2,36.8,99.56999132,93.86754188,74.3,15.2,24.4,52.3,4.0,26.8
44,christian vazquez,C,543877.0,2024.0,33.0,294.0,315.0,65.0,48.0,10.0,0.0,7.0,65.0,11.0,20.6,3.5,0.221,0.327,0.248,0.575,27.0,141.0,1.0,3.0,0.232,0.348,0.25,0.265,0.26,0.117,0.297,0.317,-0.011,-0.021,-0.015,68.3,88.5,16.1,36.1,3.8,6.3,36.6,98.03694414,93.21320099,68.5,14.0,20.8,51.7,0.0,24.8
45,bo bichette,SS,666182.0,2024.0,26.0,311.0,336.0,70.0,49.0,16.0,1.0,4.0,64.0,20.0,19.0,6.0,0.225,0.322,0.277,0.599,31.0,118.0,1.0,5.0,0.251,0.37,0.264,0.299,0.304,0.12,0.293,0.342,-0.026,-0.048,-0.035,70.4,89.2,7.2,31.3,4.4,7.2,43.5,100.8967765,94.77886282,76.3,11.4,22.0,56.4,0.0,27.3
46,carlos santana,1B,467793.0,2024.0,38.0,521.0,594.0,124.0,75.0,26.0,0.0,23.0,99.0,65.0,16.7,10.9,0.238,0.42,0.328,0.748,71.0,244.0,0.0,4.0,0.246,0.415,0.326,0.33,0.336,0.169,0.344,0.348,-0.008,0.005,-0.004,71.8,89.2,16.1,30.9,7.3,6.6,39.9,99.50612439,94.00416778,64.9,16.6,23.3,43.3,0.0,25.9
47,paul goldschmidt,1B,502671.0,2024.0,36.0,599.0,654.0,147.0,91.0,33.0,1.0,22.0,173.0,47.0,26.5,7.2,0.245,0.414,0.302,0.716,65.0,269.0,0.0,11.0,0.255,0.45,0.31,0.329,0.311,0.195,0.393,0.423,-0.01,-0.036,-0.019,72.5,91.2,13.1,34.3,10.7,8.9,49.6,101.8925837,95.66642815,65.1,22.1,27.4,47.7,0.0,26.3
48,yoan moncada,3B,660162.0,2024.0,29.0,40.0,45.0,11.0,7.0,3.0,1.0,0.0,11.0,5.0,24.4,11.1,0.275,0.4,0.356,0.756,0.0,15.0,0.0,1.0,0.264,0.346,0.333,0.314,0.346,0.081,0.397,0.368,0.011,0.054,0.019,70.0,90.2,6.1,37.9,0.0,10.3,34.5,98.10946867,93.50784966,65.3,10.6,23.9,45.8,0.0,26.8
49,luis arraez,2B,650333.0,2024.0,27.0,637.0,672.0,200.0,161.0,32.0,3.0,4.0,29.0,24.0,4.3,3.6,0.314,0.392,0.346,0.738,46.0,181.0,3.0,9.0,0.31,0.4,0.323,0.325,0.343,0.09,0.32,0.323,0.004,-0.008,-0.002,63.1,86.3,13.7,40.9,1.6,3.8,23.7,94.83800036,91.44962446,63.0,4.7,6.9,49.8,0.0,26.7
50,josh naylor,1B,647304.0,2024.0,27.0,563.0,633.0,137.0,79.0,27.0,0.0,31.0,105.0,58.0,16.6,9.2,0.243,0.456,0.32,0.776,108.0,249.0,2.0,6.0,0.257,0.443,0.332,0.335,0.333,0.186,0.362,0.366,-0.014,0.013,-0.003,72.9,89.9,11.1,30.1,8.4,6.1,40.9,100.8153601,94.68081673,72.3,14.5,22.4,50.3,0.0,25.2
51,gleyber torres,2B,650402.0,2024.0,27.0,587.0,665.0,151.0,110.0,26.0,0.0,15.0,136.0,65.0,20.5,9.8,0.257,0.378,0.33,0.708,63.0,222.0,3.0,4.0,0.24,0.368,0.313,0.307,0.317,0.128,0.349,0.341,0.017,0.01,0.006,70.1,88.6,15.0,38.2,6.3,6.1,35.4,98.29565592,93.36890443,69.2,18.7,22.9,45.7,0.0,26.6
52,marcell ozuna,DH,542303.0,2024.0,33.0,606.0,688.0,183.0,113.0,31.0,0.0,39.0,170.0,74.0,24.7,10.8,0.302,0.546,0.378,0.924,104.0,240.0,0.0,1.0,0.286,0.572,0.395,0.402,0.368,0.286,0.496,0.508,0.016,-0.026,-0.007,74.0,92.1,14.4,40.5,15.5,11.4,53.4,103.3389911,96.48968613,72.5,22.6,31.4,46.8,0.0,25.7
53,kyle tucker,RF,663656.0,2024.0,27.0,277.0,339.0,80.0,44.0,13.0,0.0,23.0,54.0,56.0,15.9,16.5,0.289,0.585,0.408,0.993,49.0,106.0,0.0,11.0,0.279,0.536,0.419,0.4,0.4,0.257,0.454,0.427,0.01,0.049,0.019,72.2,91.1,21.2,40.0,12.9,7.6,44.9,100.1579019,94.74015004,67.7,12.7,19.0,41.8,2.0,26.0
54,michael conforto,LF,624424.0,2024.0,31.0,438.0,488.0,104.0,54.0,27.0,3.0,20.0,118.0,42.0,24.2,8.6,0.237,0.45,0.309,0.759,66.0,183.0,1.0,0.0,0.257,0.479,0.327,0.35,0.329,0.222,0.394,0.43,-0.02,-0.029,-0.023,74.1,90.2,14.8,33.7,11.8,9.0,46.0,101.9553056,95.24955059,65.4,18.0,25.2,44.8,-4.0,26.3
55,starling marte,RF,516782.0,2024.0,35.0,335.0,370.0,90.0,67.0,13.0,3.0,7.0,81.0,27.0,21.9,7.3,0.269,0.388,0.327,0.715,40.0,126.0,1.0,16.0,0.287,0.425,0.313,0.337,0.344,0.138,0.369,0.403,-0.018,-0.037,-0.024,72.4,89.8,4.3,37.1,6.9,7.3,42.9,101.2020562,94.944189,69.2,18.4,28.4,50.2,-8.0,27.1
56,kyle schwarber,LF,656941.0,2024.0,31.0,573.0,692.0,142.0,82.0,22.0,0.0,38.0,197.0,106.0,28.5,15.3,0.248,0.485,0.366,0.851,104.0,183.0,3.0,5.0,0.256,0.512,0.366,0.38,0.374,0.256,0.463,0.489,-0.008,-0.027,-0.014,77.5,93.6,15.0,31.8,15.6,7.3,55.5,105.1545278,97.52984344,60.6,23.7,32.0,39.9,0.0,25.8
57,j.t. realmuto,C,592663.0,2024.0,33.0,380.0,413.0,101.0,68.0,18.0,1.0,14.0,102.0,27.0,24.7,6.5,0.266,0.429,0.322,0.751,47.0,168.0,2.0,2.0,0.268,0.459,0.326,0.339,0.324,0.191,0.404,0.424,-0.002,-0.03,-0.013,73.2,89.2,9.4,36.9,10.4,9.7,46.6,101.2486538,94.90998284,69.4,17.6,26.2,50.5,0.0,28.4
58,cody bellinger,CF,641355.0,2024.0,28.0,516.0,569.0,137.0,93.0,23.0,3.0,18.0,89.0,45.0,15.6,7.9,0.266,0.426,0.325,0.751,78.0,232.0,2.0,9.0,0.242,0.391,0.322,0.301,0.305,0.149,0.353,0.326,0.024,0.035,0.021,69.0,87.8,17.4,32.9,6.3,3.9,32.9,97.31402921,92.76835107,67.1,16.0,22.2,49.8,-1.0,28.4
59,pete alonso,1B,624413.0,2024.0,29.0,608.0,695.0,146.0,81.0,31.0,0.0,34.0,172.0,70.0,24.7,10.1,0.24,0.459,0.329,0.788,88.0,291.0,0.0,3.0,0.242,0.461,0.34,0.343,0.332,0.219,0.409,0.414,-0.002,-0.002,-0.003,75.2,89.8,14.4,30.5,13.2,6.6,46.4,102.7851147,95.69908611,61.0,14.1,24.7,42.9,0.0,26.1
60,joc pederson,DH,592626.0,2024.0,32.0,367.0,449.0,101.0,60.0,17.0,1.0,23.0,105.0,55.0,23.4,12.2,0.275,0.515,0.393,0.908,64.0,140.0,4.0,7.0,0.261,0.477,0.391,0.376,0.384,0.216,0.464,0.439,0.014,0.038,0.015,73.4,92.3,16.9,34.2,12.8,5.6,46.2,102.6485995,95.86406189,60.7,17.9,25.0,44.0,0.0,25.5
61,ha-seong kim,SS,673490.0,2024.0,28.0,403.0,470.0,94.0,64.0,16.0,3.0,11.0,77.0,58.0,16.4,12.3,0.233,0.37,0.33,0.7,47.0,178.0,5.0,22.0,0.245,0.352,0.308,0.313,0.344,0.107,0.316,0.323,-0.012,0.018,-0.005,69.0,87.9,15.1,36.6,4.8,4.8,35.4,98.62178099,93.41259733,55.2,13.4,16.1,38.0,0.0,28.3
62,lourdes gurriel jr.,OF,666971.0,2024.0,30.0,513.0,553.0,143.0,101.0,22.0,2.0,18.0,101.0,29.0,18.3,5.2,0.279,0.435,0.322,0.757,75.0,220.0,1.0,7.0,0.267,0.421,0.327,0.319,0.312,0.154,0.376,0.365,0.012,0.014,0.008,70.6,88.4,15.7,33.8,6.7,7.2,40.0,99.54934847,93.92185029,69.5,11.8,20.2,51.1,3.0,26.6
