,Name,Position,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA
26,martín pérez,SP,2024,33,590,533,151,101,28,0,22,107,49,18.1,8.3,0.283,0.46,0.349,0.809,0.278,0.468,0.351,0.353,0.344,0.191,0.396,0.399,0.005,-0.008,-0.002,72.5,89.0,11.2,34.3,8.6,7.9,41.5,76.89241338,94.74982906,64.7,13.7,21.0,46.0,0.9,91,4.9,4.53
27,kyle hendricks,SP,2024,34,567,514,147,110,15,1,21,87,43,15.3,7.6,0.286,0.442,0.34,0.782,0.276,0.426,0.339,0.336,0.335,0.15,0.37,0.366,0.01,0.016,0.003,71.5,85.9,13.0,36.4,7.4,5.1,33.4,73.58719884,93.0980278,64.4,13.4,18.9,46.2,-1.5,67,4.98,5.92
28,michael lorenzen,SP,2024,32,535,468,101,63,20,1,17,97,59,18.1,11.0,0.216,0.372,0.31,0.682,0.243,0.412,0.303,0.329,0.334,0.17,0.314,0.352,-0.027,-0.04,-0.026,71.6,88.5,15.1,32.2,8.0,8.6,39.4,76.90299382,94.18524995,67.7,16.8,22.8,44.7,2.7,117,4.89,3.31
29,jordan montgomery,SP,2024,31,532,478,149,92,40,3,14,83,44,15.6,8.3,0.312,0.496,0.369,0.865,0.287,0.443,0.37,0.347,0.349,0.156,0.413,0.382,0.025,0.053,0.023,72.0,88.6,12.2,36.6,6.0,8.2,41.0,77.21272223,94.21828914,70.3,17.7,26.9,49.6,-1.4,68,4.48,6.23
30,tyler alexander,RP,2024,29,455,419,110,66,20,1,23,90,24,19.8,5.3,0.263,0.48,0.307,0.787,0.259,0.463,0.335,0.332,0.306,0.204,0.395,0.391,0.004,0.017,0.003,72.0,88.4,21.0,36.6,9.8,7.4,37.2,77.46755418,93.86658133,67.0,16.7,20.1,50.0,0.3,78,5.08,5.1
31,bryse wilson,RP,2024,26,442,405,102,71,9,2,20,82,31,18.6,7.0,0.252,0.432,0.311,0.743,0.279,0.476,0.323,0.351,0.335,0.197,0.364,0.403,-0.027,-0.044,-0.028,71.9,89.7,16.7,37.5,9.2,7.7,44.3,78.44719333,94.77132502,68.1,15.9,20.8,48.3,0.9,102,5.09,4.04
32,carlos carrasco,SP,2024,37,447,406,112,62,26,5,19,89,33,19.9,7.4,0.276,0.505,0.336,0.841,0.26,0.435,0.36,0.333,0.324,0.176,0.421,0.383,0.016,0.07,0.027,72.1,89.3,10.8,35.3,8.1,7.5,38.8,78.88742044,94.03683051,69.2,11.4,22.7,48.7,-1.2,71,4.93,5.64
33,jon gray,SP,2024,32,439,408,107,75,17,4,11,86,28,19.6,6.4,0.262,0.404,0.308,0.712,0.276,0.441,0.309,0.331,0.322,0.165,0.359,0.389,-0.014,-0.037,-0.022,71.7,90.5,15.3,34.8,8.6,6.5,42.2,80.08735556,94.98095763,70.6,14.6,23.8,51.6,0.4,85,3.7,4.47
34,ryan yarbrough,RP,2024,32,398,348,70,49,10,0,11,65,32,16.3,8.0,0.201,0.325,0.289,0.614,0.245,0.383,0.273,0.316,0.33,0.139,0.275,0.334,-0.044,-0.058,-0.043,70.9,86.0,14.3,33.6,6.2,3.8,29.4,74.84533674,92.61506651,66.4,18.2,21.1,47.4,1.2,127,4.64,3.19
35,justin verlander,SP,2024,41,396,358,98,67,14,2,15,74,27,18.7,6.8,0.274,0.45,0.331,0.781,0.234,0.389,0.337,0.301,0.297,0.155,0.383,0.333,0.04,0.061,0.036,71.0,88.6,20.9,39.1,6.9,8.0,32.5,78.65458569,93.34992927,69.9,17.2,21.3,48.7,-0.3,73,4.78,5.48
36,derek law,RP,2024,33,365,333,82,63,11,1,7,76,24,20.8,6.6,0.246,0.348,0.294,0.642,0.258,0.361,0.282,0.298,0.309,0.103,0.324,0.347,-0.012,-0.013,-0.016,71.5,88.2,9.0,34.5,3.8,4.5,35.2,77.85068985,93.34048065,67.8,16.0,28.6,49.9,1.9,158,3.32,2.6
37,chris paddack,SP,2024,28,384,360,102,72,16,0,14,79,21,20.6,5.5,0.283,0.444,0.323,0.767,0.272,0.463,0.332,0.336,0.314,0.192,0.397,0.403,0.011,-0.019,-0.004,71.4,90.4,14.3,40.6,9.9,6.7,43.1,79.36252664,95.10185032,68.1,17.5,24.0,49.4,0.4,83,4.18,4.99
38,luke weaver,RP,2024,30,331,296,52,29,9,4,10,103,26,31.1,7.9,0.176,0.334,0.248,0.582,0.2,0.36,0.256,0.283,0.275,0.161,0.323,0.368,-0.024,-0.026,-0.027,71.2,89.1,16.5,36.4,8.6,8.6,38.4,77.93765439,94.29746564,72.7,28.2,33.5,49.7,1.9,140,3.33,2.89
39,walker buehler,SP,2024,29,344,308,89,56,15,2,16,64,28,18.6,8.1,0.289,0.506,0.356,0.862,0.262,0.428,0.37,0.334,0.334,0.166,0.423,0.374,0.027,0.078,0.036,70.9,88.3,10.8,36.2,6.9,5.7,37.8,77.41833298,93.88323116,65.6,12.3,19.4,45.4,-1.2,74,5.54,5.38
40,joe ross,RP,2024,31,321,287,72,55,10,0,7,66,29,20.6,9.0,0.251,0.359,0.319,0.678,0.239,0.381,0.299,0.306,0.31,0.143,0.337,0.347,0.012,-0.022,-0.007,72.1,88.7,16.7,30.8,8.0,3.1,38.8,77.82836108,93.97321847,68.8,18.1,27.1,49.4,0.5,109,3.83,3.77
41,merrill kelly,SP,2024,35,300,277,67,39,16,1,11,63,19,21.0,6.3,0.242,0.426,0.294,0.72,0.263,0.47,0.311,0.34,0.314,0.207,0.366,0.405,-0.021,-0.044,-0.029,72.7,90.5,11.0,33.5,10.7,6.0,40.9,80.35668857,94.67706633,68.1,12.9,21.3,48.2,1.1,105,4.25,4.03
42,david robertson,RP,2024,39,297,262,53,42,6,0,5,99,28,33.3,9.4,0.202,0.282,0.291,0.573,0.212,0.328,0.257,0.278,0.299,0.117,0.334,0.373,-0.01,-0.046,-0.021,71.1,88.7,9.9,31.1,5.5,4.9,37.8,77.81277281,93.89554153,61.8,22.0,29.5,43.4,1.7,127,2.65,3.0
43,andrew kittredge,RP,2024,34,287,263,60,37,12,1,10,67,20,23.3,7.0,0.228,0.395,0.28,0.675,0.25,0.412,0.289,0.308,0.302,0.162,0.351,0.378,-0.022,-0.017,-0.019,71.7,88.9,11.8,33.0,8.5,5.5,39.5,78.23591636,94.03377122,67.9,15.6,27.8,53.5,1.6,147,3.96,2.8
44,tyler rogers,RP,2024,33,290,273,67,46,14,0,7,51,6,17.6,2.1,0.245,0.374,0.278,0.652,0.237,0.339,0.281,0.27,0.273,0.102,0.324,0.309,0.008,0.035,0.011,70.1,85.2,7.5,24.9,4.4,3.1,31.1,73.0390233,92.70492576,70.1,16.0,18.6,53.0,1.5,137,3.56,2.82
45,jalen beeks,RP,2024,30,312,276,77,60,10,1,6,55,27,17.6,8.7,0.279,0.388,0.346,0.734,0.242,0.371,0.322,0.301,0.314,0.129,0.354,0.327,0.037,0.017,0.021,71.2,87.2,13.5,30.4,4.8,4.0,33.0,75.98706315,93.31572095,73.5,14.6,23.2,47.3,0.0,102,3.99,4.5
46,adrian houser,SP,2024,31,309,272,74,43,23,0,8,45,32,14.6,10.4,0.272,0.445,0.356,0.801,0.268,0.443,0.35,0.349,0.353,0.175,0.365,0.364,0.004,0.002,0.001,71.8,91.0,9.3,29.8,8.8,4.8,40.4,81.6021107,94.66882916,66.1,11.7,18.2,44.7,-0.9,68,4.93,5.84
47,raisel iglesias,RP,2024,34,259,238,38,27,5,2,4,68,13,26.3,5.0,0.16,0.248,0.211,0.459,0.195,0.292,0.2,0.233,0.244,0.097,0.241,0.291,-0.035,-0.044,-0.033,71.5,86.0,14.2,25.7,4.0,3.4,30.9,74.3879693,92.79837427,68.5,23.5,31.5,52.3,2.9,214,2.65,1.95
48,michael kopech,SP,2024,28,279,234,44,31,4,0,9,88,34,31.5,12.2,0.188,0.321,0.299,0.62,0.192,0.346,0.277,0.29,0.303,0.154,0.336,0.36,-0.004,-0.025,-0.013,71.3,89.0,16.9,34.2,10.5,3.9,40.8,78.87688133,93.87934544,64.4,25.7,32.8,46.9,1.4,119,4.02,3.46
